

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
067.103  000.884  000.320: require('luasnip.util.environ')
067.221  000.114  000.114: require('luasnip.util.pattern_tokenizer')
067.316  000.092  000.092: require('luasnip.util.dict')
067.434  000.115  000.115: require('luasnip.session.snippet_collection')
067.543  002.940  000.342: require('luasnip.nodes.snippet')
067.772  000.091  000.091: require('luasnip.loaders._caches')
067.905  000.130  000.130: require('luasnip.util.path')
067.937  000.391  000.170: require('luasnip.loaders')
068.107  000.143  000.143: require('luasnip.nodes.functionNode')
068.269  000.159  000.159: require('luasnip.nodes.choiceNode')
068.434  000.163  000.163: require('luasnip.nodes.dynamicNode')
068.584  000.147  000.147: require('luasnip.nodes.restoreNode')
068.907  000.100  000.100: require('luasnip.util.parser.neovim_ast')
071.245  001.262  001.262: require('luasnip.util.directed_graph')
071.281  002.580  001.218: require('luasnip.util.parser.ast_utils')
071.937  000.326  000.326: require('luasnip.util.functions')
071.973  000.614  000.288: require('luasnip.util.parser.ast_parser')
072.473  000.499  000.499: require('luasnip.util.parser.neovim_parser')
072.637  000.160  000.160: require('luasnip.util.str')
072.660  004.071  000.218: require('luasnip.util.parser')
073.082  000.232  000.232: require('luasnip.extras.filetype_functions')
073.461  000.268  000.268: require('luasnip.extras')
073.670  000.203  000.203: require('luasnip.extras.fmt')
074.186  000.187  000.187: require('luasnip.extras.conditions')
074.317  000.127  000.127: require('luasnip.extras.conditions.show')
074.423  000.605  000.291: require('luasnip.extras.conditions.expand')
074.426  000.753  000.148: require('luasnip.extras.expand_conditions')
074.581  000.151  000.151: require('luasnip.nodes.absolute_indexer')
075.050  002.388  000.780: require('luasnip.config')
075.056  010.599  000.198: require('luasnip')
075.528  000.086  000.086: require('cmp.utils.debug')
075.746  000.136  000.136: require('cmp.utils.char')
075.756  000.223  000.087: require('cmp.utils.str')
075.839  000.082  000.082: require('cmp.utils.pattern')
076.089  000.081  000.081: require('cmp.utils.misc')
076.161  000.069  000.069: require('cmp.utils.buffer')
076.243  000.080  000.080: require('cmp.utils.api')
076.250  000.330  000.100: require('cmp.utils.keymap')
076.255  000.413  000.083: require('cmp.utils.feedkeys')
076.341  000.084  000.084: require('cmp.utils.async')
076.551  000.070  000.070: require('cmp.types.cmp')
076.654  000.100  000.100: require('cmp.types.lsp')
076.723  000.066  000.066: require('cmp.types.vim')
076.726  000.310  000.074: require('cmp.types')
076.796  000.069  000.069: require('cmp.utils.cache')
076.801  000.457  000.078: require('cmp.context')
077.053  000.082  000.082: require('cmp.config.mapping')
077.219  000.083  000.083: require('cmp.config.compare')
077.222  000.165  000.082: require('cmp.config.default')
077.239  000.346  000.099: require('cmp.config')
077.412  000.072  000.072: require('cmp.matcher')
077.419  000.179  000.107: require('cmp.entry')
077.427  000.625  000.100: require('cmp.source')
